Link,Approx Cost,Origin Country,Sale Country,Manufacturer,Brand,Model Year,Body Type,Additional Type,Weight,Gear box,Power (hp),Torque (Nm),Fuel Econ (L/100km),Fuel Econ (km/L),Performance 0-100 kph (sec),Top speed (kph),Overview
https://www.drivearabia.com/carprices/uae/audi/audi-s3/2016/,"AED 76,300 - 101,700",Germany,uae,Audi,S3,2016,Premium Sub-Compact Sedan,4-door sedan,1525,6A,296,380,6.9,14.5,4.9,250*,"The Audi S3 sedan made its debut in 2015 and is the performance version of the A3. It comes with a 2.0-litre turbocharged 4-cylinder engine, mated to a 6-speed automatic gearbox. The 6-speed manual gearbox version is available in some GCC markets on special order. All-wheel drive is standard in the S3. Standard equipment include power steering, power windows, power mirrors, daytime running headlamps, start-stop system, sports seats, central locking, cruise control, entertainment system with Bluetooth and 8 speakers, automatic A/C, sports seats, HID headlamps, headlight washers, sports suspension, fog lights and alloy wheels. Safety standards are high as in all Audi models with features which include electronic stability control, ABS with EBD as well as front and side airbags with knee airbags. "
https://www.drivearabia.com/carprices/uae/honda/honda-s2000/2006/,"AED 31,100 - 33,200",Japan,uae,Honda,S2000,2006,Sports Convertible,2-door convertible,1301,6M,240,208,10.3,9.7,6.2,241,"The S2000 is a small two-seat roadster that can easily chase the likes of the snobby Porsche Boxster. It is a technological innovation from Honda, whose aim with this car was to pump as much horsepower out of a small 2.0-litre engine as possible, without any turbo or supercharging trickery. The S2000 is said to drive like a superbike, because big horsepower from small displacement with a narrow powerband and extremely high rpm produces a very frantic experience. Driving it slowly, shifting the manual at low rpm apparently results in very weak performance in traffic. The latest model has refinements to the engine and suspension put in place back in 2005. Changes to the S2000 in 2006 include more shoulder and elbow room, and some tweaks, most notably 17-inch wheels, drive-by-wire throttle, stability control and new headlights with a triple-beam design. Early models had a plastic rear window, while 2002-plus models get a glass one. The last external facelift was in 2004. Interior features are basic, but include leather upholstery, electric power steering, starter button, power windows, power mirrors, remote central locking, air-conditioning and a pathetic radio cassette stereo with 2 speakers. "
https://www.drivearabia.com/carprices/uae/ford/ford-explorer/2013/,"AED 35,900 - 37,200 (Base)",United States,uae,Ford,Explorer,2013,Midsize SUV,5-door wagon,2134 - 2214,6A,290,346,10.0-10.3,10,9.0,173*,"The Ford Explorer remains unchanged for 2013, with some slight trim changes and the addition of a new engine option. It is a crossover with a unibody structure and road-biased demeanour. The Explorer is now available with a turbocharged 3.5-litre V6 model, in addition to the 3.5-litre V6, both engines mated to a 6-speed manually-shiftable automatic, with the base model getting front-wheel-drive and the rest getting full-time all-wheel-drive with no low-range gearing. There are four trim levels. The base model features include cloth upholstery, manual a/c, basic Ford SYNC with 6-speaker CD/MP3 stereo, 18-inch wheels, three-row seating, keyless entry, cruise control, capless fuel filler, power driver's seat, adjustable steering wheel, common power options and more. Available features higher up the trim levels include intelligent access with push button start, three-zone auto a/c, remote engine start, power liftgate, power-adjustable seats and pedals with memory, leather, heated and cooled front seats, MyFord Touch for the Ford SYNC touchscreen, 8-speaker stereo or 12-speaker Sony audio system, Bluetooth, 20-inch polished aluminium wheels, dual moonroof and power-folding third-row seats. The top Limited can be outfitted with further options such as HID headlights, rain-sensing wipers, adaptive cruise control with auto braking and the automatic parallel-parking system. The front-biased all-wheel-drive Explorer has an electronic center coupling that controls the torque split between the front and rear wheels, and acts as a center differential. Standard off-road electronics on AWD models include hill-descent control, hill-ascent assist, four-wheel electronic traction control and a standard ""Terrain Management"" system that varies drivetrain and ESP characteristics for different conditions. Standard safety features include dual front airbags, side and curtain airbags, Roll Stability Control, stability control and Curve Control. Other optional safety features include inflatable rear-seatbelt airbags, blind-spot monitoring with cross-traffic alert, and collision warning with pre-crash brake support. "
https://www.drivearabia.com/carprices/uae/mitsubishi/mitsubishi-eclipse-cross/2022/,"AED 73,400 - 74,000 (GLX High Line)",Japan,uae,Mitsubishi,Eclipse Cross,2022,Sub-Compact SUV,5-door wagon,1520 - 1550,CVT,148,250,7.0,14.3,9.8,200,"Named after Mitsubishi's famed now-dead sports car, the Eclipse Cross is an economical crossover with no sporting pretensions beyond its sharply sloping rear roofline. Powered by a 1.5-litre turbocharged 4-cylinder mated to a CVT automatic and a choice of front-wheel-drive and all-wheel-drive, the Eclipse Cross seats five and is based on the Outlander platform, just like the brand's ASX crossover. The rear seat reclines and slides front-back as needed, to increase legroom or boot space. It has the all modern amenities available, such as power windows and mirrors, smart keyless entry and start, multimedia screen, and more. It rides on a choice of 16-inch or 18-inch alloy wheels. Safety features include ABS with EBD, ESP, tyre-pressure monitor and dual front with optional side-curtain airbags. "
https://www.drivearabia.com/carprices/uae/mazda/mazda-3-sedan/2022/,"AED 78,900 - 79,000 (2.0L Evolve)",Japan,uae,Mazda,3 Sedan,2022,Compact Sedan,4-door sedan,1300 - 1315,6A,153,200,5.9,16.9,9.5,210,"A new generation of the Mazda 3 came out in 2020. Mechanically, the engines have carried over from the previous model. One engine is offered in the GCC, a 2.0-litre 4-cylinder unit with a 6-speed automatic transmission. Standard safety features include dual front airbags, ABS with EBD and an immobiliser, side airbags, ""smart"" brake support and blind-spot monitoring. "
https://www.drivearabia.com/carprices/uae/mercedes-benz/mercedes-benz-amg-gt/2018/,"AED 332,100 - 365,400 (AMG GT)",Germany,uae,Mercedes-Benz,AMG GT,2018,Luxury Sports Coupe,2-door coupe,1540 - 1615,7AM,456,630,9.4,10.6,4.0,304*,"The Mercedes-Benz AMG GT, or Mercedes-AMG GT as the marketeers like to call it now, is the first car entirely developed in-house by AMG. Four variants of the AMG GT will be available as of 2017, all with the same V8 4.0-litre twin-turbocharged engine but with different tunes. Power is delivered in both variants through a 7-speed dual clutch automatic transmission. The standard AMG GT gets a mechanical rear-axle locking rear differential while the AMG GT C gets an electronic locking rear differential. The GT C also has an AMG RIDE CONTROL suspension with electronically controlled dampers with three different modes - Comfort, Sport and Sport Plus. The AMG GT R is the top performance model, with more power, modified suspension and more aerodynamic thanks to exterior mods. The GT R also gets all-wheel steering for better handling performance. The AMG GT doesn't weigh so much for its size, thanks to the body structure being built through a mixture of steel, aluminium and magnesium. Safety standards are high in the AMG GT with front and side airbags, traction control, ABS brakes and stability control. "
https://www.drivearabia.com/carprices/uae/ford/ford-fusion/2011/,"AED 12,500 - 14,500",Mexico,uae,Ford,Fusion,2011,Midsize Sedan,4-door sedan,1519,6A,175,233,7.3,13.7,9.5,200*,"The Ford Fusion receives a facelift, interior updates and more power for 2010. Essentially a modified version of the previous version, this Mexican-built midsize sedan is available in the GCC in a limited number of trim levels. The new look includes a sleeker chrome-grilled front end and a redesigned rear slapped onto the carryover three-box body. While introduced in the U.S. boasting four engines and various transmission options, it is sold here only in front-wheel-drive automatic form with one engine choice. The standard engine is a new 2.5-litre 4-cylinder, mated to a  6-speed automatic transmission. Features include the Ford SYNC voice-activated entertainment system, Bluetooth phone, keyless entry, power windows, electric mirrors, manual A/C, power driver seat, 12-speaker Sony sound system, fog lamps, 17-inch alloy wheels, capless fuel filler, dual chrome-tipped exhausts, four-wheel disc brakes, reverse sensors and a tyre-pressure monitoring system. Available safety features include ABS, traction control, stability control, curtain side airbags, and front side airbags. "
https://www.drivearabia.com/carprices/uae/lexus/lexus-lx/2009/,"AED 109,700 - 114,500",Japan,uae,Lexus,LX,2009,Luxury Large SUV,5-door wagon,2725,6A,362,530,15.7,6.4,7.8,220*,"The new-for-2008 LX 570 now offers total comfort and luxury, while still offering outstanding off-road capability. Heavily based on the Toyota Land Cruiser, this new one at least gets a unique front end and a different interior. The Lexus version is powered by a new 5.7-litre V8 mated with a new 6-speed automatic transmission. The full-time all-wheel drive features a new 2-speed transfer case, Torsen centre differential and a new crawl-control feature when in low range. The LX has a vehicle ""posture control"" system with four-wheel active height control and adaptive variable suspension that reacts more quickly and allows for a greater range of adjustment than the system it replaces. Active safety features include stability control, ABS brakes and traction control, as well as multiple airbags. The plush interior is covered in leather and wood, with seating for at least seven, and features such as ventilated front seats, power-folding third-row seating, sunroof, navigation, Mark Levinson CD/DVD stereo, front-rear-side-view cameras and all the usual power accessories. A minor facelift in 2010 offered up a new front bumper, an upgrade from 18-inch to 20-inch wheels, and an optional new body kit. For 2011, a new tan leather interior was optionally offered, besides the usual beige and black. "
https://www.drivearabia.com/carprices/uae/infiniti/infiniti-q60-coupe/2015/,"AED 60,200 - 60,500 (Sport)",Japan,uae,Infiniti,Q60 Coupe,2015,Premium Compact Coupe,2-door coupe,1648,7A,330,366,10.4,9.6,5.5,253*,"From 2014, the Infiniti G37 Coupe became the Q60 Coupe to follow the Japanese brand's new naming structure. This generation of the coupe was first offered in 2008. It uses a 3.7-litre V6, mated to a paddle-shifted 7-speed automatic gearbox. The platform is the corporate front-midship, offering about 54:46 front-rear balance. The coupe and the convertible are proper 2+2 seater cars, with decent space in the back too. Features include alloy wheels, fog lamps, Xenon headlamps, 18-inch or 19-inch wheels, LED taillights, folding rear seat with trunk pass-through, heated leather seats with eight-way driver and four-way passenger power adjustment, leather-wrapped wheel, automatic climate control, six-CD stereo, cruise control, automatic headlamps, intelligent key, auto-dimming rearview mirror, power windows and variable intermittent wipers. Available options include a DVD-based navigation system and rear-view camera. Some markets, such as UAE, now offer only one trim level. Safety features include the usual multitude of airbags, ABS brakes and other electronic nannies. "
https://www.drivearabia.com/carprices/uae/peugeot/peugeot-206/2010/,"AED 44,500 - 47,500 (hatchback)",Slovakia,uae,Peugeot,206,2010,Sub-Compact Sedan / Hatchback,"4-door sedan, 5-door hatchback",950 - 1099,5M/4A,75,120,6.3-6.7,15.9,12.2-12.8,170-171,"The 206 is  Peugeot's most popular model, originally available with a wide range of body styles, trim levels and engine choices. The 206 has technically been replaced by the 207, but the 206 continues to be in production due to its popularity. Its design has changed little since its launch in 1999, with derivatives such as the 206 CC Cabriolet and a fast RC hatchback joining and leaving the line-up. Now available only in 5-door hatchback trim built in Slovakia and in new 4-door sedan trim built in Iran, it acts as a cheaper alternative to the 207. There are only two petrol engines offered since late 2007. The 206 can be had with a 1.4-litre or a 1.6-litre four-cylinder engine with either a manual or an automatic with tiptronic shifting. By mid-2010, only 1.6-litre sedan models remained on sale. All models come with at least front power windows, a cloth interior and other basics as standard. Add-ons such as sunroof, CD player, a single airbag and alloy wheels come in the higher models. Optional comprehensive safety equipment include ABS with Electronic Brakeforce Distribution, Emergency Brake Assist, along with dual front airbags. "
https://www.drivearabia.com/carprices/uae/mercedes-benz/mercedes-benz-s-65-amg/2007/,"AED 115,300 - 117,200",Germany,uae,Mercedes-Benz,S 65 AMG,2007,Luxury Large Sedan,4-door long sedan,2180,5A,612,1000,14.7,6.8,4.3,250*,"This generation of the S-Class is among the top-selling luxury cars in the Middle East thanks to its mix of luxury and road presence. The S 65 AMG gets a twin turbocharged 6.0-litre V12 engine, mated to a 5-speed automatic. The new model features new steps in road safety with the second generation of the PRE-SAFE occupant protection system that predicts accidents and prepares the car's occupants for the crash by initiating safety measures such as pre-tensioning seatbelts, raising seat backs to the optimum position and even closing the sunroof. In addition, it also has optional Night View Assist which is an advanced after-dark vision system. Other features include enhanced COMAND system with 8-inch display and a controller on the centre console, Airmatic adaptive suspension and adaptive brake lights. It also  includes a reversing camera, panoramic sunroof, AMG bodykit and AMG light-alloy wheels. "
https://www.drivearabia.com/carprices/uae/opel/opel-astra/2021/,"AED 84,900 - 86,000 (Elegance plus)",Germany,uae,Opel,Astra,2021,Compact Hatchback,5-door hatchback,1345,6A,138,200,6.4,15.6,10.5,210, 
https://www.drivearabia.com/carprices/uae/mercedes-benz/mercedes-benz-e-class/2015/,"AED 68,900 - 76,200 (E200)",Germany,uae,Mercedes-Benz,E-Class,2015,Luxury Midsize Sedan,4-door sedan,1615 - 1830,7A,184,270,5.8-6.1,17.2,7.9,233,"For 2014, the Mercedes-Benz E-Class gets a redesign. The four headlights have been removed after 17 years and replaced with one-piece LED headlamps. Like most of their new models, for the interior they have incorporated the ""Direct Select"" lever for the gear instead of the console-mounted shifter. A lot of new technology is borrowed from the 2014 S-Class which includes Stereo Multi-Purpose Camera, Active Parking Assist and a 360-degree camera for a bird's-eye view to aid parking. "
https://www.drivearabia.com/carprices/uae/nissan/nissan-x-trail/2008/,"AED 14,900 - 17,500",Japan,uae,Nissan,X-Trail,2008,Compact SUV,5-door wagon,1427 - 1440,5M/4A,165,230,9.2-9.8,10.9,10.2-11.2,176-186,"The X-Trail is Nissan's entry for the small road-going 4WD market, though for a long time we thought it was really a midsize comparable to the old Pathfinder in size. Developed to attract young adventurous buyers, we find the X-Trail particularly unattractive, but it has proved to be a runaway success with older people just looking for a conservative vehicle that looks like a 4WD. The X-Trail has undergone only slight exterior redesigns and interior upgrades ever since it was launched years ago and is beginning to look dated. Powered by a 2.5-litre four-cylinder engine coupled with a 4-speed automatic or a 5-speed manual transmission, it isn't particularly fast, but a reasonable long-distance cruiser. Full-time four-wheel drive is available when the computer system senses the need for all wheels to be driven to suit demand, but it will get stuck if you take it beyond the beach. The interior is full of storage spaces, including cup-holders, centre console box and other nooks and crannies. ABS brakes and 2 airbags are standard. "
https://www.drivearabia.com/carprices/uae/bmw/bmw-x4/2019/,"AED 160,000 - 176,000 (X4 20i)",Germany,uae,BMW,X4,2019,Premium Compact SUV,5-door wagon,1845 - 1890,8A,181,270,7.3,13.7,8.3,220,"An all-new model of the BMW X4 came out for the 2019 model. The X4 20i and X4 xDrive30i feature a turbocharged 2.0-liter 4-cylinder engine, with two different tunes. Both are available with a standard 8-speed sport automatic. The X4 M40i is available with a 3.0-litre turbocharged inline-6 cylinder motor, mated to an 8-speed auto transmission as well. Standard features include power steering, power windows, electric mirrors, leather seats, automatic A/C and FM radio and entertainment system with USB/iPod/Bluetooth support. Optional features include a new generation of BMW Navigation System, full-color BMW Head-Up Display, Driving Assistant Plus which warns the driver of a potential collision with a pedestrian and BMW Active Cruise Control with Stop & Go. Safety features are always good with BMW and standard equipment include driver and passenger airbags, ABS and dynamic stability control (DSC). "
https://www.drivearabia.com/carprices/uae/honda/honda-civic-hatchback/2011/,"AED 24,500 - 25,800 (5-door)",United Kingdom,uae,Honda,Civic Hatchback,2011,Compact Hatchback,"3-door hatchback, 5-door hatchback",1328 - 1342,5A,140,174,7.3,13.7,11.0,197,"The UK-built Honda Civic hatchback is finally being offered in the GCC as a limited-edition upscale model. Compared to the Japanese-built sedan, everything is different, including the exterior, interior and the suspension, which happens to be non-independent in the rear. The regular model is a loaded 5-door version, while the range-topper is the 3-door Type-R. The 5-door gets a standard 1.8-litre 4-cylinder with a 5-speed automatic, while the Type-R gets a highly-tuned 2.0-litre 4-cylinder with a 6-speed manual. Features in both models include a starter button, keyless entry, cruise control, 6-speaker CD stereo with AUX and USB ports, parking sensors, HID headlights, dual-zone automatic a/c and more. The 5-door has hidden rear-door handles, 17-inch alloys, leather upholstery and four-wheel disc brakes. The Type-R additionally gets sports seats, Alcantara cabin trim, 18-inch wheels, larger brakes, tuned exhaust system, Type-R badged cabin trim, special exterior trim and a rear spoiler. All models get front and side airbags, stability control, tyre-pressure monitor and ABS. "
https://www.drivearabia.com/carprices/uae/mercedes-benz/mercedes-benz-c-63-amg/2018/,"AED 179,200 - 220,600 (C 63)",Germany,uae,Mercedes-Benz,C 63 AMG,2018,Premium Compact Sedan,4-door sedan,1640 - 1655,7A,469,650,8.2,12.2,4.1,250*,"The Mercedes-AMG C63 and C63 S are the sports variants of the C-Class sedan. Under the hood, they gets twin-turbocharged 4.0-litre V8, mated to 7-speed automatic transmission, with the C63 S having the slightly higher power rating. Standard equipment includes power steering, power windows, automatic A/C, cruise control, xenon headlamps, radio with MP3/iPod/USB/AUX support, navigation system and leather sports seats. The C63 gets AMG RIDE CONTROL sports suspension with electronically controlled shock absorbers and the AMG DYNAMIC SELECT drive programmes. It also gets 3-stage RIDE CONTROL sport suspension, the 3-stage ESP and the optional button for the performance exhaust system with flap control. Standard safety equipment includes front drive and passenger airbags, curtain airbags, drowsiness warning system ATTENTION ASSIST and COLLISION PREVENTION ASSIST PLUS, which helps to avoid rear-end collisions. "
https://www.drivearabia.com/carprices/uae/bmw/bmw-x3/2021/,"AED 260,000 - 280,000 (xDrive30i)",United States,uae,BMW,X3,2021,Premium Compact SUV,5-door wagon,1790 - 1885,8A,181,290,7.2,13.9,8.1,240,"An all-new model of the BMW X3 came out for the 2018 model. The X3 xDrive20i and xDrive30i gets a 2.0-litre turbocharged 4-cylinder unit, while the X3 M40i gets the 3.0-litre turbocharged inline-6 cylinder engine. All are available with a standard 8-speed sport automatic. Standard features include power steering, power windows, electric mirrors, leather seats, automatic A/C and FM radio and entertainment system with USB/iPod/Bluetooth support. Optional features include a new generation of BMW Navigation System, full-color BMW Head-Up Display, Driving Assistant Plus which warns the driver of a potential collision with a pedestrian and BMW Active Cruise Control with Stop & Go. Safety features are always good with BMW and standard equipment include driver and passenger airbags, ABS and dynamic stability control (DSC). "
